"term","tau","estimate","std.error","p.value"
"bs(Age, knots = c(21, 45, 60))5",0.9,-93629.8118256329,84931.7470126749,0.27028274355089
"bs(Age, knots = c(21, 45, 60))6",0.9,-91071.9811604034,84709.386906475,0.282325418417372
"TitleIX_5Elementary",0.9,-809.708394858417,46.0676445561122,0
"TitleIX_5Middle",0.9,-647.596712109193,69.7488593071852,0
"TitleIX_5High",0.9,-535.506161563456,54.1702363907837,0
"TitleIX_5Yes",0.9,-453.25822290947,46.2423860382328,0
"GenderM",0.9,-104865.474323156,85339.237221609,0.219144432130601
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.9,103555.644349669,85544.5668497719,0.226069750712459
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.9,103880.075492024,85279.7363121812,0.223182633031124
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.9,101741.543769825,85367.3331158374,0.233336547597312
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.9,102232.599379737,85297.3711968714,0.230705893687444
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.9,103822.188552192,85439.7663201906,0.224308984983558
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.9,103221.509988587,85205.4589656795,0.225726228329918
