"term","tau","estimate","std.error","p.value"
"TitleIX_18Some1",0.75,-105.882170473011,76.1668789702318,0.164488559436072
"TitleIX_18Some2",0.75,-537.676544997596,83.9883557132246,1.53639767574987e-10
"TitleIX_18Some3",0.75,-445.81225329212,58.3177710778437,2.08721928629529e-14
"TitleIX_18Some4",0.75,-638.713790693072,63.6093461803118,0
"TitleIX_18Some5",0.75,-339.6850518127,62.5077268674722,5.50310037539248e-08
"TitleIX_18Some6",0.75,-497.14413313879,54.9795146633856,0
"TitleIX_18Some7",0.75,-538.188651631693,74.2188520751346,4.13002965160558e-13
"TitleIX_18Some8",0.75,-789.269441569007,63.8995058388109,0
"TitleIX_18Some9",0.75,-831.88187535347,59.9505263818365,0
"TitleIX_18Some10",0.75,-852.140974273153,51.507380828541,0
"TitleIX_18Some11",0.75,-736.812654749892,59.3790385077116,0
"TitleIX_18Some12",0.75,-736.534857506636,62.1189333215314,0
"TitleIX_18Some13",0.75,-623.007602038321,52.5575480840424,0
"TitleIX_18Some14",0.75,-728.824733587119,56.6080945701524,0
"TitleIX_18Some15",0.75,-541.980545137249,52.2336280243154,0
"TitleIX_18Some16",0.75,-478.509121950115,52.9342039740449,0
"TitleIX_18Yes",0.75,-327.83516606239,33.2713113319557,0
"GenderM",0.75,-49799.5123110724,9587.44099956638,2.05601975888925e-07
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.75,48594.0145306989,9753.86019247143,6.29337848501166e-07
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.75,48581.8847764708,9538.99172134847,3.52558700900119e-07
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.75,47206.3551228204,9610.36772320163,9.01584507051467e-07
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.75,47362.703267859,9555.61013707998,7.17762409951916e-07
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.75,48520.2649078837,9660.47831539701,5.09997974962317e-07
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.75,53070.4195646829,9566.3322306845,2.89666086672469e-08
"(Intercept)",0.9,142865.962347028,96796.0649411357,0.139958226485029
"bs(Age, knots = c(21, 45, 60))1",0.9,-122972.217863585,97197.170725001,0.205806059266197
"bs(Age, knots = c(21, 45, 60))2",0.9,-126260.159725327,96677.3582699176,0.191554578723427
"bs(Age, knots = c(21, 45, 60))3",0.9,-122969.783738835,96853.3320578155,0.204209873195405
"bs(Age, knots = c(21, 45, 60))4",0.9,-120546.870458569,96707.0424156006,0.21257539570615
"bs(Age, knots = c(21, 45, 60))5",0.9,-112988.670858157,97017.920349393,0.24417460141399
